Product ID,Product Name,Category,Quantity in Stock,Unit Price,Supplier,Order Date,Delivery Date,Region,Sales
P9496,Product D,Category 2,320,87.21,Supplier 1,2024-02-06 09:36:37.541883,2024-05-02 09:36:37.551630,West,1770.68
P6224,Product B,Category 3,72,76.55,Supplier 4,2024-02-10 09:36:37.541900,2024-09-08 09:36:37.551636,West,2779.46
P8627,Product E,Category 1,278,55.34,Supplier 1,2024-02-15 09:36:37.541902,2024-06-12 09:36:37.551639,North,2082.69
P3051,Product E,Category 2,150,60.2,Supplier 3,2024-03-22 09:36:37.541904,2024-09-14 09:36:37.551642,South,4145.4
P5687,Product D,Category 4,433,16.58,Supplier 1,2024-12-16 09:36:37.541906,2024-06-02 09:36:37.551645,North,3067.74
P9276,Product D,Category 3,318,82.29,Supplier 2,2024-03-27 09:36:37.541908,2024-09-03 09:36:37.551648,North,3816.15
P1262,Product C,Category 1,400,58.34,Supplier 1,2024-10-10 09:36:37.541910,2025-01-03 09:36:37.551652,South,1395.69
P4739,Product C,Category 1,135,19.53,Supplier 4,2024-12-24 09:36:37.541914,2024-08-19 09:36:37.551656,South,1095.48
P8107,Product C,Category 4,215,47.4,Supplier 1,2024-04-26 09:36:37.541916,2024-02-04 09:36:37.551660,North,4328.01
P9386,Product B,Category 3,319,49.77,Supplier 4,2024-03-25 09:36:37.541919,2024-04-11 09:36:37.551664,North,4541.13
P6420,Product C,Category 3,232,39.68,Supplier 1,2024-01-19 09:36:37.541921,2024-10-17 09:36:37.551667,East,1721.73
P3498,Product B,Category 2,276,42.59,Supplier 1,2024-06-04 09:36:37.541922,2024-06-01 09:36:37.551670,North,3105.36
P4581,Product D,Category 2,205,76.03,Supplier 1,2024-03-24 09:36:37.541924,2024-08-21 09:36:37.551673,North,1300.42
P9431,Product E,Category 3,85,72.91,Supplier 3,2024-04-12 09:36:37.541926,2024-11-10 09:36:37.551676,West,1294.43
P6751,Product B,Category 4,361,32.98,Supplier 1,2024-06-20 09:36:37.541928,2024-06-15 09:36:37.551679,North,1246.52
P8680,Product E,Category 1,471,98.88,Supplier 3,2024-09-09 09:36:37.541929,2024-03-22 09:36:37.551682,North,1749.75
P8979,Product E,Category 4,399,75.51,Supplier 4,2024-06-08 09:36:37.541931,2024-01-24 09:36:37.551685,East,4672.52
P2918,Product C,Category 4,428,17.53,Supplier 3,2024-04-25 09:36:37.541933,2024-06-17 09:36:37.551688,North,1546.31
P3384,Product D,Category 3,209,76.86,Supplier 3,2024-03-20 09:36:37.541935,2024-07-07 09:36:37.551691,North,4574.44
P7977,Product E,Category 1,296,10.07,Supplier 1,2024-05-22 09:36:37.541936,2024-05-05 09:36:37.551694,East,1174.16
P6241,Product B,Category 3,30,87.73,Supplier 3,2024-04-05 09:36:37.541938,2024-12-16 09:36:37.551697,North,4393.33
P6495,Product B,Category 2,62,70.08,Supplier 4,2024-08-16 09:36:37.541940,2024-09-20 09:36:37.551699,East,4770.48
P1387,Product A,Category 1,396,84.76,Supplier 1,2024-07-27 09:36:37.541942,2024-04-14 09:36:37.551702,South,2339.76
P8976,Product D,Category 2,217,36.09,Supplier 2,2024-11-20 09:36:37.541944,2024-03-13 09:36:37.551704,East,2048.62
P4941,Product C,Category 3,251,41.42,Supplier 1,2024-10-09 09:36:37.541945,2024-06-12 09:36:37.551706,South,4546.35
P6310,Product B,Category 2,76,45.25,Supplier 2,2024-09-03 09:36:37.541947,2024-03-23 09:36:37.551708,North,3749.06
P6066,Product B,Category 4,331,26.52,Supplier 4,2024-11-07 09:36:37.541949,2024-09-19 09:36:37.551709,North,1125.34
P4989,Product D,Category 2,252,66.77,Supplier 4,2024-08-11 09:36:37.541950,2024-11-07 09:36:37.551711,West,2783.15
P7818,Product B,Category 1,493,81.63,Supplier 2,2024-02-08 09:36:37.541952,2024-12-12 09:36:37.551713,South,1030.78
P8122,Product D,Category 1,71,84.22,Supplier 4,2024-11-02 09:36:37.541954,2024-04-13 09:36:37.551715,West,4319.04
P2640,Product E,Category 1,130,65.45,Supplier 1,2024-03-04 09:36:37.541955,2024-12-14 09:36:37.551716,North,1522.49
P2513,Product A,Category 4,497,26.35,Supplier 4,2024-08-08 09:36:37.541957,2024-09-06 09:36:37.551718,South,1938.81
P8400,Product D,Category 3,152,78.21,Supplier 1,2024-03-17 09:36:37.541959,2024-02-20 09:36:37.551720,North,4715.53
P7706,Product B,Category 3,32,16.45,Supplier 1,2024-08-22 09:36:37.541960,2024-09-25 09:36:37.551722,South,3684.59
P5741,Product C,Category 1,316,33.62,Supplier 4,2024-12-11 09:36:37.541962,2024-05-07 09:36:37.551724,South,1569.37
P7431,Product D,Category 4,145,86.82,Supplier 4,2025-01-03 09:36:37.541964,2024-08-10 09:36:37.551725,South,2635.22
P5064,Product E,Category 2,428,17.93,Supplier 4,2024-05-25 09:36:37.541965,2024-10-11 09:36:37.551727,East,1391.61
P4506,Product B,Category 3,79,60.34,Supplier 2,2024-09-26 09:36:37.541967,2024-11-30 09:36:37.551728,West,2832.4
P9835,Product A,Category 3,441,67.9,Supplier 1,2024-05-26 09:36:37.541969,2024-03-05 09:36:37.551730,North,3181.82
P3110,Product C,Category 2,478,87.75,Supplier 1,2024-12-26 09:36:37.541970,2024-03-13 09:36:37.551732,West,4957.46
P1218,Product C,Category 4,409,35.23,Supplier 4,2024-10-17 09:36:37.541972,2024-06-23 09:36:37.551733,East,2246.72
P1697,Product E,Category 3,423,73.81,Supplier 2,2024-07-28 09:36:37.541974,2024-07-04 09:36:37.551735,West,4149.13
P8933,Product E,Category 1,305,43.02,Supplier 2,2024-12-23 09:36:37.541976,2024-10-04 09:36:37.551737,East,3247.83
P9922,Product E,Category 1,48,46.02,Supplier 2,2024-03-24 09:36:37.541978,2024-06-07 09:36:37.551739,South,4395.21
P6099,Product C,Category 2,301,46.24,Supplier 3,2024-04-03 09:36:37.541980,2024-05-29 09:36:37.551740,West,2836.18
P4517,Product C,Category 1,389,31.68,Supplier 3,2024-06-07 09:36:37.541981,2024-03-27 09:36:37.551742,East,1068.01
P3074,Product E,Category 4,388,19.66,Supplier 1,2024-06-26 09:36:37.541983,2024-02-24 09:36:37.551743,North,3541.45
P5285,Product D,Category 2,404,16.21,Supplier 4,2024-02-20 09:36:37.541985,2024-09-11 09:36:37.551745,East,1107.3
P6471,Product A,Category 3,247,37.83,Supplier 2,2024-02-15 09:36:37.541987,2024-05-15 09:36:37.551747,West,3836.88
P4924,Product B,Category 1,387,96.68,Supplier 2,2024-05-30 09:36:37.541988,2024-09-02 09:36:37.551748,West,3776.29
P4697,Product B,Category 2,8,52.2,Supplier 3,2024-05-18 09:36:37.541990,2024-08-19 09:36:37.551750,North,2804.91
P5666,Product C,Category 2,224,24.9,Supplier 4,2024-07-16 09:36:37.541992,2024-12-09 09:36:37.551751,West,2329.55
P8800,Product B,Category 3,278,64.56,Supplier 3,2024-08-01 09:36:37.541994,2024-07-14 09:36:37.551753,South,3614.16
P5474,Product C,Category 1,8,82.39,Supplier 4,2024-08-04 09:36:37.541995,2024-10-01 09:36:37.551755,South,1529.9
P9263,Product B,Category 1,335,74.14,Supplier 2,2024-08-27 09:36:37.541997,2024-10-23 09:36:37.551757,North,2101.72
P8476,Product C,Category 4,90,82.04,Supplier 3,2024-03-02 09:36:37.541999,2024-09-06 09:36:37.551758,North,1283.98
P1590,Product C,Category 3,301,38.83,Supplier 3,2024-12-11 09:36:37.542000,2024-09-22 09:36:37.551760,West,2826.31
P9147,Product B,Category 2,307,36.83,Supplier 3,2024-12-17 09:36:37.542002,2024-02-09 09:36:37.551761,South,1910.78
P6107,Product A,Category 3,205,67.39,Supplier 4,2024-03-31 09:36:37.542004,2024-09-20 09:36:37.551763,East,1120.24
P9391,Product D,Category 3,379,25.99,Supplier 2,2024-07-25 09:36:37.542005,2025-01-02 09:36:37.551765,West,3475.92
P3723,Product C,Category 1,376,86.95,Supplier 2,2024-05-12 09:36:37.542007,2024-12-20 09:36:37.551766,West,1480.68
P4713,Product E,Category 4,250,66.2,Supplier 1,2024-09-04 09:36:37.542009,2024-12-22 09:36:37.551768,North,2256.92
P9009,Product B,Category 3,465,55.08,Supplier 1,2024-07-30 09:36:37.542010,2024-09-15 09:36:37.551769,West,1241.82
P3378,Product E,Category 1,311,14.13,Supplier 2,2024-07-04 09:36:37.542012,2024-10-26 09:36:37.551772,North,4963.93
P3485,Product D,Category 4,1,80.35,Supplier 3,2024-05-13 09:36:37.542014,2024-08-10 09:36:37.551774,South,4082.57
P5158,Product C,Category 2,146,77.33,Supplier 2,2024-11-21 09:36:37.542015,2024-12-27 09:36:37.551776,East,3241.91
P9784,Product D,Category 1,97,96.35,Supplier 3,2024-07-02 09:36:37.542017,2024-02-04 09:36:37.551778,South,3209.92
P5682,Product A,Category 1,331,38.85,Supplier 4,2024-07-29 09:36:37.542019,2024-04-03 09:36:37.551781,East,3618.59
P7686,Product D,Category 4,25,10.85,Supplier 2,2024-05-07 09:36:37.542020,2024-09-06 09:36:37.551783,East,1256.35
P1270,Product D,Category 2,106,80.23,Supplier 3,2024-07-31 09:36:37.542022,2024-05-24 09:36:37.551786,East,1148.76
P2698,Product C,Category 4,233,66.92,Supplier 2,2024-10-17 09:36:37.542023,2024-08-14 09:36:37.551789,East,4196.81
P1079,Product A,Category 2,92,53.35,Supplier 2,2024-08-28 09:36:37.542025,2024-11-12 09:36:37.551791,West,1118.94
P8691,Product C,Category 3,460,42.82,Supplier 1,2024-04-25 09:36:37.542027,2024-11-19 09:36:37.551793,South,1351.15
P2460,Product A,Category 4,498,50.74,Supplier 1,2024-03-08 09:36:37.542028,2024-03-04 09:36:37.551796,West,2722.72
P5610,Product E,Category 4,453,62.85,Supplier 1,2025-01-14 09:36:37.542030,2024-02-24 09:36:37.551799,East,1801.17
P1961,Product D,Category 2,456,89.34,Supplier 2,2024-12-25 09:36:37.542032,2024-05-05 09:36:37.551801,North,3601.33
P5873,Product E,Category 1,250,76.39,Supplier 4,2024-09-03 09:36:37.542033,2024-12-27 09:36:37.551804,West,2300.66
P7276,Product B,Category 2,344,30.0,Supplier 1,2024-05-09 09:36:37.542035,2024-08-05 09:36:37.551808,South,3210.87
P4550,Product C,Category 1,273,44.7,Supplier 2,2024-04-24 09:36:37.542037,2024-06-27 09:36:37.551810,East,3756.22
P1273,Product C,Category 3,215,64.21,Supplier 1,2024-06-13 09:36:37.542039,2024-08-26 09:36:37.551813,North,1573.11
P8461,Product C,Category 2,227,73.36,Supplier 3,2024-10-20 09:36:37.542041,2024-07-30 09:36:37.551815,North,3548.06
P6902,Product A,Category 1,143,29.71,Supplier 4,2024-08-29 09:36:37.542042,2024-08-02 09:36:37.551818,East,1504.8
P7447,Product E,Category 4,325,61.89,Supplier 1,2024-04-28 09:36:37.542044,2024-12-14 09:36:37.551820,South,2710.43
P1200,Product A,Category 3,493,60.28,Supplier 3,2024-05-05 09:36:37.542046,2024-03-07 09:36:37.551823,East,2279.77
P3139,Product C,Category 3,286,44.35,Supplier 2,2024-09-08 09:36:37.542048,2024-03-14 09:36:37.551826,North,1132.43
P1546,Product D,Category 4,60,64.11,Supplier 3,2024-11-13 09:36:37.542049,2024-06-14 09:36:37.551829,North,2552.2
P7608,Product E,Category 4,229,77.18,Supplier 3,2024-08-28 09:36:37.542051,2024-02-13 09:36:37.551832,West,2017.42
P4077,Product A,Category 4,228,82.88,Supplier 3,2024-07-01 09:36:37.542052,2024-12-29 09:36:37.551835,East,3627.71
P2091,Product B,Category 4,17,39.36,Supplier 2,2025-01-07 09:36:37.542054,2024-05-29 09:36:37.551837,East,3621.19
P6829,Product E,Category 1,408,58.37,Supplier 4,2024-09-08 09:36:37.542055,2024-09-19 09:36:37.551840,South,4101.27
P9070,Product E,Category 3,26,51.51,Supplier 1,2024-01-20 09:36:37.542057,2024-10-22 09:36:37.551843,North,3559.93
P7654,Product A,Category 4,5,73.86,Supplier 2,2024-05-30 09:36:37.542059,2024-05-07 09:36:37.551845,East,1005.7
P6990,Product C,Category 4,475,72.03,Supplier 2,2024-11-11 09:36:37.542060,2024-05-27 09:36:37.551848,East,2811.54
P7558,Product A,Category 1,245,55.71,Supplier 4,2025-01-03 09:36:37.542062,2024-09-27 09:36:37.551852,North,2758.0
P6266,Product B,Category 3,442,30.97,Supplier 3,2024-12-30 09:36:37.542064,2024-09-26 09:36:37.551855,North,3567.52
P2888,Product B,Category 1,446,14.84,Supplier 1,2024-02-07 09:36:37.542065,2024-02-04 09:36:37.551857,West,4402.03
P9046,Product C,Category 2,389,71.96,Supplier 4,2024-03-10 09:36:37.542067,2024-02-11 09:36:37.551860,North,3396.84
P2427,Product A,Category 3,289,81.57,Supplier 2,2024-08-31 09:36:37.542069,2024-06-26 09:36:37.551863,North,1157.63
P7254,Product D,Category 2,118,26.67,Supplier 1,2024-11-01 09:36:37.542070,2024-01-29 09:36:37.551866,West,1179.59
P2407,Product B,Category 2,292,34.73,Supplier 4,2024-12-25 09:36:37.542072,2024-05-12 09:36:37.551869,South,3689.12
P7991,Product C,Category 1,475,63.45,Supplier 4,2024-08-02 09:36:37.542074,2024-07-26 09:36:37.551872,North,3670.6
P4974,Product A,Category 2,364,13.6,Supplier 3,2024-02-21 09:36:37.542075,2024-05-24 09:36:37.551874,East,1968.4
P5496,Product E,Category 4,412,77.46,Supplier 4,2024-05-19 09:36:37.542077,2024-09-21 09:36:37.551877,South,2749.63
P4507,Product B,Category 3,351,80.12,Supplier 4,2024-08-28 09:36:37.542079,2024-10-10 09:36:37.551880,West,4513.84
P9826,Product A,Category 1,400,73.1,Supplier 1,2024-10-16 09:36:37.542080,2024-10-29 09:36:37.551883,South,1657.7
P3875,Product C,Category 1,157,31.14,Supplier 2,2024-10-15 09:36:37.542082,2024-06-04 09:36:37.551886,West,3163.77
P7013,Product B,Category 1,312,92.7,Supplier 1,2024-03-23 09:36:37.542083,2024-05-07 09:36:37.551889,South,2528.83
P2736,Product B,Category 1,90,83.07,Supplier 2,2024-07-28 09:36:37.542085,2024-04-09 09:36:37.551892,West,4400.85
P5636,Product D,Category 2,275,76.18,Supplier 1,2024-05-29 09:36:37.542087,2024-12-29 09:36:37.551895,North,4535.85
P4445,Product E,Category 2,49,40.92,Supplier 1,2024-11-15 09:36:37.542089,2024-09-14 09:36:37.551899,West,2867.31
P2046,Product D,Category 3,164,40.51,Supplier 3,2024-09-14 09:36:37.542090,2024-12-14 09:36:37.551902,South,2579.46
P9634,Product C,Category 3,439,53.65,Supplier 4,2024-10-04 09:36:37.542092,2024-05-05 09:36:37.551905,North,4476.05
P6762,Product D,Category 1,439,13.78,Supplier 2,2024-04-26 09:36:37.542093,2024-06-18 09:36:37.551908,South,3909.78
P4604,Product C,Category 4,34,33.81,Supplier 1,2025-01-02 09:36:37.542095,2024-10-20 09:36:37.551910,West,2380.71
P7973,Product E,Category 2,245,73.51,Supplier 4,2024-12-07 09:36:37.542097,2024-12-10 09:36:37.551911,North,4786.79
P4250,Product A,Category 1,362,65.04,Supplier 1,2024-11-12 09:36:37.542098,2024-09-15 09:36:37.551913,North,4479.8
P3500,Product A,Category 2,169,79.0,Supplier 2,2024-06-27 09:36:37.542100,2024-11-05 09:36:37.551915,West,2392.06
P5329,Product A,Category 2,151,11.41,Supplier 3,2024-05-10 09:36:37.542102,2024-04-05 09:36:37.551916,East,2957.74
P7201,Product B,Category 2,427,67.65,Supplier 2,2024-07-23 09:36:37.542103,2024-12-03 09:36:37.551918,North,1791.83
P3207,Product B,Category 4,73,42.99,Supplier 4,2024-03-03 09:36:37.542105,2024-06-15 09:36:37.551919,North,1418.45
